TIME OF FLIP,STARTED,LANDED
22/04/18 22:34:08,t,h
22/04/18 22:34:15,t,h
22/04/18 22:34:18,t,t
22/04/18 22:34:22,t,t
22/04/18 22:34:25,t,t
22/04/18 22:34:29,t,t
22/04/18 22:34:32,t,h
22/04/18 22:34:36,t,t
22/04/18 22:34:39,t,h
22/04/18 22:34:43,t,h
22/04/18 22:34:46,t,h
22/04/18 22:34:49,t,t
22/04/18 22:34:52,t,t
22/04/18 22:34:55,t,h
22/04/18 22:34:59,t,t
22/04/18 22:35:02,t,t
22/04/18 22:35:04,t,t
22/04/18 22:35:07,t,h
22/04/18 22:35:13,t,t
22/04/18 22:35:15,t,h
22/04/18 22:35:18,t,t
22/04/18 22:35:21,t,t
22/04/18 22:35:24,t,h
22/04/18 22:35:26,t,t
22/04/18 22:35:32,t,h
22/04/18 22:35:35,t,t
22/04/18 22:35:39,t,h
22/04/18 22:35:43,t,h
22/04/18 22:35:46,t,t
22/04/18 22:35:49,t,t
22/04/18 22:35:52,t,h
22/04/18 22:35:56,t,h
22/04/18 22:35:59,t,t
22/04/18 22:36:03,t,h
22/04/18 22:36:10,t,t
22/04/18 22:36:12,t,t
22/04/18 22:36:14,t,t
22/04/18 22:36:21,t,t
22/04/18 22:36:24,t,h
22/04/18 22:36:27,t,h
22/04/18 22:36:35,t,t
22/04/18 22:36:39,t,t
22/04/18 22:36:42,t,t
22/04/18 22:36:44,t,h
22/04/18 22:36:50,t,t
22/04/18 22:36:53,t,t
22/04/18 22:36:56,t,h
22/04/18 22:36:59,t,t
22/04/18 22:37:02,t,h
22/04/18 22:37:05,t,h
22/04/18 22:37:13,t,t
22/04/18 22:37:18,t,t
22/04/18 22:37:24,t,h
22/04/18 22:37:28,t,h
22/04/18 22:37:33,t,t
22/04/18 22:37:37,t,t
22/04/18 22:37:43,t,t
22/04/18 22:37:46,t,h
22/04/18 22:37:49,t,t
22/04/18 22:37:52,t,h
22/04/18 22:37:55,t,t
22/04/18 22:37:58,t,t
22/04/18 22:38:01,t,t
22/04/18 22:38:04,t,h
22/04/18 22:38:09,t,t
22/04/18 22:38:13,t,t
22/04/18 22:38:15,t,h
22/04/18 22:38:19,t,h
22/04/18 22:38:22,t,t
22/04/18 22:38:26,t,t
22/04/18 22:38:29,t,t
22/04/18 22:38:32,t,t
22/04/18 22:38:36,t,t
22/04/18 22:38:38,t,t
22/04/18 22:38:41,t,t
22/04/18 22:38:44,t,t
22/04/18 22:38:48,t,t
22/04/18 22:38:51,t,h
22/04/18 22:38:55,t,h
22/04/18 22:38:57,t,h
22/04/18 22:39:01,t,t
22/04/18 22:39:04,t,h
22/04/18 22:39:08,t,h
22/04/18 22:39:13,t,t
22/04/18 22:39:17,t,t
22/04/18 22:39:22,t,h
22/04/18 22:39:25,t,t
22/04/18 22:39:28,t,h
22/04/18 22:39:31,t,t
22/04/18 22:39:34,t,h
22/04/18 22:39:37,t,t
22/04/18 22:39:43,t,t
22/04/18 22:39:48,t,h
22/04/18 22:39:52,t,t
22/04/18 22:40:01,t,h
22/04/18 22:40:10,t,t
22/04/18 22:40:14,t,h
22/04/18 22:40:18,t,t
22/04/18 22:40:21,t,h
22/04/18 22:40:25,t,h
22/04/18 22:40:29,t,h
22/04/18 22:40:32,t,t
22/04/18 22:40:38,t,t
22/04/18 22:40:41,t,t
22/04/18 22:40:44,t,h
22/04/18 22:40:47,t,t
22/04/18 22:40:50,t,h
22/04/18 22:40:52,t,h
22/04/18 22:40:55,t,t
22/04/18 22:40:58,t,t
22/04/18 22:41:01,t,t
22/04/18 22:41:04,t,t
22/04/18 22:41:06,t,h
22/04/18 22:41:09,t,h
22/04/18 22:41:13,t,t
22/04/18 22:41:15,t,t
22/04/18 22:41:17,t,t
22/04/18 22:41:20,t,h
22/04/18 22:41:26,t,t
22/04/18 22:41:30,t,h
22/04/18 22:41:34,t,h
22/04/18 22:41:36,t,h
22/04/18 22:41:39,t,t
22/04/18 22:41:42,t,t
22/04/18 22:41:45,t,t
22/04/18 22:41:48,t,h
22/04/18 22:41:53,t,h
22/04/18 22:42:01,t,h
22/04/18 22:42:05,t,h
22/04/18 22:42:08,t,t
22/04/18 22:42:13,t,t
22/04/18 22:42:15,t,t
22/04/18 22:42:18,t,h
22/04/18 22:42:22,t,h
22/04/18 22:42:29,t,h
22/04/18 22:42:37,t,t
22/04/18 22:42:40,t,t
22/04/18 22:42:43,t,h
22/04/18 22:42:46,t,h
22/04/18 22:42:52,t,t
22/04/18 22:42:58,t,t
22/04/18 22:43:01,t,h
22/04/18 22:43:05,t,t
22/04/18 22:43:07,t,t
22/04/18 22:43:09,t,h
22/04/18 22:43:14,t,t
22/04/18 22:43:17,t,t
22/04/18 22:43:20,t,t
22/04/18 22:43:26,t,t
22/04/18 22:43:30,t,h
22/04/18 22:43:34,t,t
22/04/18 22:43:37,t,h
22/04/18 22:43:40,t,h
22/04/18 22:43:43,t,t
22/04/18 22:43:51,t,h
22/04/18 22:43:54,t,t
22/04/18 22:43:57,t,t
22/04/18 22:43:58,t,h
22/04/18 22:44:02,t,t
22/04/18 22:44:05,t,t
22/04/18 22:44:09,t,h
22/04/18 22:44:14,t,t
22/04/18 22:44:17,t,t
22/04/18 22:44:20,t,t
22/04/18 22:44:23,t,h
22/04/18 22:44:26,t,h
22/04/18 22:44:29,t,t
22/04/18 22:44:32,t,t
22/04/18 22:44:34,t,h
22/04/18 22:44:38,t,h
22/04/18 22:44:42,t,t
22/04/18 22:44:44,t,h
22/04/18 22:44:47,t,h
22/04/18 22:44:51,t,h
22/04/18 22:44:55,t,h
22/04/18 22:44:58,t,h
22/04/18 22:45:01,t,h
22/04/18 22:45:05,t,t
22/04/18 22:45:08,t,t
22/04/18 22:45:14,t,t
22/04/18 22:45:18,t,t
22/04/18 22:45:23,t,t
22/04/18 22:45:26,t,t
22/04/18 22:45:28,t,t
22/04/18 22:45:32,t,t
22/04/18 22:45:35,t,t
22/04/18 22:45:37,t,t
22/04/18 22:45:40,t,t
22/04/18 22:45:43,t,h
22/04/18 22:45:46,t,t
22/04/18 22:45:52,t,h
22/04/18 22:45:55,t,t
22/04/18 22:45:58,t,h
22/04/18 22:46:01,t,h
22/04/18 22:46:03,t,h
22/04/18 22:46:09,t,h
22/04/18 22:46:13,t,t
22/04/18 22:46:16,t,h
22/04/18 22:46:19,t,t
22/04/18 22:46:22,t,h
22/04/18 22:46:28,t,t
22/04/18 22:46:33,t,h
22/04/18 22:46:38,t,t
22/04/18 22:46:40,t,t
22/04/18 22:46:43,t,t
22/04/18 22:46:46,t,t
22/04/18 22:46:50,t,t
22/04/18 22:46:53,t,h
22/04/18 22:46:56,t,t
22/04/18 22:46:59,t,t
22/04/18 22:47:02,t,h
22/04/18 22:47:06,t,t
22/04/18 22:47:08,t,h
22/04/18 22:47:12,t,h
22/04/18 22:47:17,t,h
22/04/18 22:47:21,t,h
22/04/18 22:47:26,t,t
22/04/18 22:47:34,t,h
22/04/18 22:47:38,t,t
22/04/18 22:47:41,t,h
22/04/18 22:47:44,t,h
22/04/18 22:47:47,t,h
22/04/18 22:47:50,t,h
22/04/18 22:48:01,t,h
22/04/18 22:48:06,t,h
22/04/18 22:48:09,t,t
22/04/18 22:48:12,t,t
22/04/18 22:48:15,t,t
22/04/18 22:48:17,t,h
22/04/18 22:48:21,t,t
22/04/18 22:48:24,t,t
22/04/18 22:48:26,t,h
22/04/18 22:48:29,t,h
22/04/18 22:48:33,t,t
22/04/18 22:48:36,t,t
22/04/18 22:48:39,t,t
22/04/18 22:48:42,t,t
22/04/18 22:48:45,t,h
22/04/18 22:48:48,t,h
22/04/18 22:48:52,t,t
22/04/18 22:48:54,t,t
22/04/18 22:48:57,t,t
22/04/18 22:49:02,t,h
22/04/18 22:49:06,t,t
22/04/18 22:49:15,t,h
22/04/18 22:49:22,t,t
22/04/18 22:49:27,t,t
22/04/18 22:49:29,t,h
22/04/18 22:49:32,t,h
22/04/18 22:49:41,t,t
22/04/18 22:49:44,t,h
22/04/18 22:49:46,t,t
22/04/18 22:49:49,t,t
22/04/18 22:49:52,t,h
22/04/18 22:49:55,t,h
22/04/18 22:49:58,t,h
22/04/18 22:50:01,t,t
22/04/18 22:50:04,t,h
22/04/18 22:50:10,t,h
22/04/18 22:50:13,t,t
22/04/18 22:50:15,t,h
22/04/18 22:50:19,t,h
22/04/18 22:50:22,t,h
22/04/18 22:50:26,t,h
22/04/18 22:50:30,t,h
22/04/18 22:50:32,t,h
22/04/18 22:50:36,t,h
22/04/18 22:50:39,t,h
22/04/18 22:50:48,t,t
22/04/18 22:50:52,t,t
22/04/18 22:50:54,t,t
22/04/18 22:50:58,t,h
22/04/18 22:51:02,t,t
22/04/18 22:51:04,t,t
22/04/18 22:51:07,t,t
22/04/18 22:51:09,t,t
22/04/18 22:51:12,t,h
22/04/18 22:51:15,t,h
22/04/18 22:56:17,t,h
22/04/18 22:56:21,t,t
22/04/18 22:56:22,t,t
22/04/18 22:56:25,t,h
22/04/18 22:56:28,t,h
22/04/18 22:56:35,t,h
22/04/18 22:56:40,t,t
22/04/18 22:56:43,t,t
22/04/18 22:56:49,t,t
22/04/18 22:56:52,t,h
22/04/18 22:56:56,t,h
22/04/18 22:57:00,t,t
22/04/18 22:57:08,t,t
22/04/18 22:57:10,t,t
22/04/18 22:57:13,t,t
22/04/18 22:57:16,t,h
22/04/18 22:57:19,t,h
22/04/18 22:57:22,t,t
22/04/18 22:57:25,t,h
22/04/18 22:57:28,t,t
